```csv
Transaction Date,Posting Date,Description,Amount
2025/05/26,2025/05/28,"MULTI LUMINAIRE NEPEAN ON",450.87
2025/05/26,2025/05/28,"WEST PARK BOWLING OTTAWA ON",45.34
2025/05/27,2025/05/28,"LULULEMON #00240 OTTAWA ON",38.42
2025/05/27,2025/05/28,"WESTBORO SPA & HAIR ST OTTAWA ON",343.10
2025/05/27,2025/05/28,"SQ *BRIDGEHEAD COFFEE MCROTTAWA ON",3.98
2025/05/28,2025/06/02,"WAL-MART SUPERCENTER#3066OTTAWA ON",97.43
2025/05/28,2025/05/29,"RWCO 2285 NEPEAN ON",27.07
2025/05/28,2025/05/29,"STOKES OTTAWA ON",6.76
2025/05/28,2025/05/29,"CREPES AND WAFFLES OTTAWA ON",11.07
2025/05/28,2025/05/29,"OLD NAVY CANADA 5476 NEPEAN ON",45.83
2025/05/28,2025/05/28,"PAYMENT - THANK YOU / PAIEMENT - MERCI",-1008.20
2025/05/29,2025/06/02,"YOW BRIDGEHEAD D OTTAWA ON",4.29
2025/05/30,2025/06/02,"MARRIOTT CALGARY BANQU CALGARY AB",11.00
2025/05/31,2025/06/02,"WWW.SOAPNOTEINK.COM VANCOUVER BC",117.52
2025/05/31,2025/06/02,"CFPC MISSISSAUGA ON",18.90
2025/05/31,2025/06/02,"SQ *LIGHT + PAPER GOSQ.COTORONTO ON",39.90
2025/05/31,2025/06/02,"SQ *GREEN PROFESSIONAL ATNORTH YORK ON",94.08
2025/06/01,2025/06/02,"UBER CANADA/UBERTRIP TORONTO ON",8.24
2025/06/01,2025/06/02,"SQ *DEVILLE COFFEE FASHIOCALGARY AB",8.40
2025/06/01,2025/06/02,"SQ *BONO COFFEE STEPHEN ACALGARY AB",6.88
2025/06/01,2025/06/02,"SQ *CHARBAR CALGARY AB",9.84
2025/06/02,2025/06/02,"AMZN MKTP CA*NN6QX5Y70 WWW.AMAZON.CAON",61.01
2025/06/02,2025/06/02,"RIGHT TO PLAY 888-955-5455 ON",25.00
2025/06/02,2025/06/04,"SKYWAY LIQUOR CALGARY AB",64.04
2025/06/02,2025/06/04,"CALGARY FLAMES CON A Y CALGARY AB",45.23
2025/06/02,2025/06/03,"UNICEF CANADA TORONTO ON",30.00
2025/06/02,2025/06/03,"LYFT *3 RIDES 06-01 VANCOUVER BC",32.46
2025/06/02,2025/06/03,"UBER CANADA/UBERTRIP TORONTO ON",1.00
2025/06/03,2025/06/04,"LEGO, RIDEAU OTTAWA ON",180.77
2025/06/03,2025/06/04,"MICHAELS CANADA #3496 800-642-4235 ON",19.75
2025/06/03,2025/06/04,"RUNNING ROOM 016 PAR OTTAWA ON",44.04
2025/06/03,2025/06/04,"IVONNE, INC. OTTAWA ON",232.00
2025/06/03,2025/06/04,"STARBUCKS OTTAWA MARR OTTAWA ON",8.14
2025/06/03,2025/06/04,"OCT*NRMROWWWY2Q1W7 OTTAWA ON",8.00
2025/06/03,2025/06/04,"SQ *IVONNE? OTTAWA ON",1160.00
2025/06/03,2025/06/03,"LULULEMONCOM* 877-263-9300 BC",300.58
2025/06/04,2025/06/04,"PAYMENT - THANK YOU / PAIEMENT - MERCI",-1838.97
2025/06/05,2025/06/06,"WWW COSTCO CA 888-426-7826 ON",542.39
2025/06/05,2025/06/06,"CHESTERFIELDS GASTRO DINEOTTAWA ON",32.00
2025/06/05,2025/06/06,"IKEA OTTAWA OTTAWA ON",236.17
2025/06/05,2025/06/06,"IKEA OTTAWA OTTAWA ON",6.22
2025/06/06,2025/06/09,"PAYPAL *HAKHTS 4029357733",171.80
2025/06/06,2025/06/09,"OGILVIE SUBARU GLOUCESTER ON",1299.27
2025/06/06,2025/06/09,"SIAM BISTRO OTTAWA ON",101.46
2025/06/06,2025/06/09,"DAIRY QUEEN GLOUCESTER ON",46.66
2025/06/06,2025/06/06,"PAYMENT - THANK YOU / PAIEMENT - MERCI",-1761.97
2025/06/07,2025/06/09,"IKEA OTTAWA OTTAWA ON",3.68
2025/06/07,2025/06/09,"IKEA OTTAWA OTTAWA ON",56.50
2025/06/07,2025/06/09,"CANADIAN TIRE #290 OTTAWA ON",13.53
2025/06/07,2025/06/09,"CANADIAN TIRE #290 OTTAWA ON",115.23
2025/06/07,2025/06/09,"BOWMAN'S BAR & GRILL OTTAWA ON",62.65
2025/06/08,2025/06/11,"IQALUIT - NORTHMART #350 IQALUIT NU",82.28
2025/06/08,2025/06/10,"YOW BRIDGEHEAD D OTTAWA ON",8.00
2025/06/11,2025/06/12,"QGH CAFE IQALUIT NU",3.50
2025/06/12,2025/06/12,"BALANCEPROTECTOR PREMIUM",27.54
2025/06/12,2025/06/12,"PROVINCIAL TAX",2.20
```
