Transaction Date,Posting Date,File,Description,Amount
2025-05-28,2025-05-29,personal_visa_multi_page.pdf,CREPES AND WAFFLES OTTAWA ON,-11.07
2025-05-28,2025-05-29,personal_visa_multi_page.pdf,OLD NAVY CANADA 5426 NEPEAN ON,-45.83
2025-05-28,2025-05-28,personal_visa_multi_page.pdf,PAYMENT - THANK YOU/PAIEMENT - MERCI,1008.2
2025-05-29,2025-06-02,personal_visa_multi_page.pdf,YOW BRIDGEHEAD DOTTAWA ON,-6.29
2025-05-30,2025-06-02,personal_visa_multi_page.pdf,MARRIOTT CALGARY SANDU CALGA AB,-11.0
2025-05-31,2025-06-02,personal_visa_multi_page.pdf,WWW.SOAPNOTEINK.COM VANCOUVER BC,-117.52
2025-05-31,2025-06-02,personal_visa_multi_page.pdf,CIPC MISSISSAUGA ON,-18.9
2025-05-31,2025-06-02,personal_visa_multi_page.pdf,SQ *LIGHT - PAPER GOSO COTORONTO ON,-39.9
2025-05-31,2025-06-02,personal_visa_multi_page.pdf,SQ *GREEN PROFESSIONAL ATNORTH YORK ON,-84.08
2025-06-01,2025-06-02,personal_visa_multi_page.pdf,UBER CANADAUBERTRIP TORONTO ON,-3.24
2025-06-01,2025-06-02,personal_visa_multi_page.pdf,SQ *DEVILLE COFFEE FABIOCALGARY AB,-9.46
2025-06-01,2025-06-02,personal_visa_multi_page.pdf,SQ *BOND COFFEE STEPHEN ACALGARY AB,-5.68
2025-06-01,2025-06-03,personal_visa_multi_page.pdf,SQ *CHAMBAR CALGARY AB,-9.84
2025-06-02,2025-06-02,personal_visa_multi_page.pdf,AMZN MKTP CA *MN09X6YT6 WWW.AMAZON.CAON,-87.01
2025-06-02,2025-06-02,personal_visa_multi_page.pdf,GHI TO PLAY 888 455-5455 ON,-25.0
2025-06-02,2025-06-04,personal_visa_multi_page.pdf,SKYWAY LIQUOR CALGARY AB,-64.04
2025-06-02,2025-06-04,personal_visa_multi_page.pdf,CALGARY FLAMES CON AY CALGARY AB,-45.23
2025-06-02,2025-06-03,personal_visa_multi_page.pdf,UNICEF CANADA TORONTO ON,-30.0
2025-06-03,2025-06-03,personal_visa_multi_page.pdf,LITTT *3 RIDES OF OF VANCOUVER BC,-32.48
2025-06-03,2025-06-03,personal_visa_multi_page.pdf,UBER CANADA UBERTRIP TORONTO ON,-1.0
2025-06-03,2025-06-01,personal_visa_multi_page.pdf,"LEGO, RIDEAU OTTAWA ON",-180.77
2025-06-03,2025-06-04,personal_visa_multi_page.pdf,MICHAELS CANADA #5486 800-642-4235 ON,-79.75
2025-06-03,2025-06-04,personal_visa_multi_page.pdf,RUNNING ROOM 116 PAR OTTAWA,-44.04
2025-06-01,2025-06-04,personal_visa_multi_page.pdf,"INONNE, INC. OTTAWA ON",-232.0
2025-06-03,2025-06-04,personal_visa_multi_page.pdf,STARBUCKS OTTAWA MARK OTTAWA ON,-5.14
2025-06-03,2025-06-04,personal_visa_multi_page.pdf,OCT*MRM WWWWWQWZ QW7 OTTAWA ON,-8.0
2025-06-03,2025-06-04,personal_visa_multi_page.pdf,SQ *IVOMNE? OTTAWA ON,-1180.0
2025-06-03,2025-06-03,personal_visa_multi_page.pdf,LULULEMONCOM *877-263-9300 BC,-300.58
2025-06-04,2025-06-04,personal_visa_multi_page.pdf,PAYMENT - THANK YOU,1038.57
2025-06-05,2025-06-06,personal_visa_multi_page.pdf,WWW COSTCO CA 888-426-7825 ON,-542.39
2025-06-05,2025-06-06,personal_visa_multi_page.pdf,CHESTERFIELDS GASTRO DINE OTTAWA ON,-32.0
2025-06-05,2025-06-06,personal_visa_multi_page.pdf,IKEA OTTAWA OTTAWA ON,-236.17
2025-06-05,2025-06-09,personal_visa_multi_page.pdf,IKEA OTTAWA,-6.22
2025-06-06,2025-06-09,personal_visa_multi_page.pdf,PAYPAL *HAKRTS 4023357710,-171.0
2025-06-06,2025-06-09,personal_visa_multi_page.pdf,OGILVIE SUBARU GLOUCESTER ON,-1199.17
2025-06-06,2025-06-09,personal_visa_multi_page.pdf,SIAM BISTRO OTTARA ON,-101.46
2025-06-06,2025-06-09,personal_visa_multi_page.pdf,DAIRY QUEEN GLOUCESTER ON,-46.68
2025-06-06,2025-06-06,personal_visa_multi_page.pdf,PAYMENT - THANK YOU,1761.57
2025-06-07,2025-06-09,personal_visa_multi_page.pdf,IKEA OTTAWA,-3.68
2025-06-07,2025-06-09,personal_visa_multi_page.pdf,IKEA OTTAWA OTTAWA ON,-56.56
2025-06-07,2025-06-09,personal_visa_multi_page.pdf,CANADIAN TIRE #208 OTTAWA ON,-12.53
2025-06-07,2025-06-09,personal_visa_multi_page.pdf,CANADIAN TIRE #208 OTTAWA ON,-115.23
2025-06-07,2025-06-09,personal_visa_multi_page.pdf,BOWMAN'S BAR & GRILL OTTAMA ON,-82.65
2025-06-08,2025-06-11,personal_visa_multi_page.pdf,IQALUIT - NORTHMART #350 IQALUIT NU,-82.28
2025-06-08,2025-06-10,personal_visa_multi_page.pdf,YOW BRIDGEHEAD DOTTAWA ON,-0.0
2025-06-11,2025-06-12,personal_visa_multi_page.pdf,QGH CAFE IQALUIT NU,-5.5
